date,test_value,predicted_value
2018-09-28,134.6418938,133.26695
2018-09-27,134.7525441,133.25575
2018-09-26,134.7677313,133.24445
2018-09-25,134.6744382,133.23303
2018-09-24,134.8295658,133.22153
2018-09-21,134.9944546,133.2388
2018-09-20,135.0703905,133.22745
2018-09-19,134.8913987,133.21597
2018-09-18,134.6635895,133.2044
2018-09-17,134.4791734,133.19275
2018-09-14,134.5616194,133.21036
2018-09-13,134.634301,133.19885
2018-09-12,134.7243398,133.18723
2018-09-11,134.5648737,133.17552
2018-09-10,134.4867678,133.16368
2018-09-07,134.4618178,133.18163
2018-09-06,133.9964365,133.16997
2018-09-05,133.9226699,133.15819
2018-09-04,134.3045209,133.14632
2018-08-31,134.6440638,133.15263
2018-08-30,134.7471198,133.1408
2018-08-29,134.8913987,133.12888
2018-08-28,134.7590526,133.11684
2018-08-27,134.7959355,133.1047
2018-08-24,134.6136895,133.12332
2018-08-23,134.4726648,133.11134
2018-08-22,134.4683263,133.09927
2018-08-21,134.7536283,133.08707
2018-08-20,134.7590526,133.07478
2018-08-17,134.7015582,133.09373
2018-08-16,134.7199997,133.0816
2018-08-15,134.7742398,133.06935
2018-08-14,134.9684204,133.05702
2018-08-13,134.7514599,133.04456
2018-08-10,134.7948513,133.06384
2018-08-09,134.8870602,133.05156
2018-08-08,134.7753257,133.03915
2018-08-07,134.919603,133.02666
2018-08-06,134.9250273,133.01404
2018-08-03,134.8176329,133.03369
2018-08-02,134.8989931,133.02122
2018-08-01,134.9944546,133.00868
2018-07-31,135.0063875,132.996
2018-07-30,135.1116135,132.98323
2018-07-27,135.4348842,133.00322
2018-07-26,134.1342069,132.9906
2018-07-25,134.3251316,132.97787
2018-07-24,134.2904179,132.96504
2018-07-23,134.1971248,132.95212
2018-07-20,134.1016625,132.97244
2018-07-19,134.3522517,132.95967
2018-07-18,134.317538,132.9468
2018-07-17,134.4585619,132.9338
2018-07-16,134.2275,132.92072
2018-07-13,134.2589586,132.94138
2018-07-12,134.3045209,132.92845
2018-07-11,134.0626096,132.9154
2018-07-10,134.292588,132.90225
2018-07-09,134.2654679,132.88899
2018-07-06,134.1559026,132.91002
2018-07-05,133.9205007,132.89691
2018-07-03,133.8575819,132.8704
2018-07-02,133.7002859,132.857
1.535311475,,
